time,RTD.CH4.raw_resistance_counts
2026-03-06 21:14:18.315803,17713286
2026-03-06 21:14:18.315834,17908995
2026-03-06 21:14:18.315843,17664690
2026-03-06 21:14:18.315852,17927633
2026-03-06 21:14:18.31586,17896422
2026-03-06 21:14:18.315869,17725387
2026-03-06 21:14:18.315878,17913549
2026-03-06 21:14:18.315886,16219335
2026-03-06 21:14:18.315895,17511158
2026-03-06 21:14:18.316873,18117106
2026-03-06 21:14:18.316879,17968049
2026-03-06 21:14:18.316883,17712067
2026-03-06 21:14:18.316888,17879318
2026-03-06 21:14:18.316893,17875343
2026-03-06 21:14:18.316897,17731782
2026-03-06 21:14:18.316902,17873703
2026-03-06 21:14:18.316906,17907722
2026-03-06 21:14:18.31691,17697326
2026-03-06 21:14:18.317438,17744335
2026-03-06 21:14:18.317443,17700109
2026-03-06 21:14:18.317448,17935287
2026-03-06 21:14:18.317452,17657258
2026-03-06 21:14:18.317457,17894936
2026-03-06 21:14:18.317461,17660345
2026-03-06 21:14:18.317465,17880868
2026-03-06 21:14:18.31747,17726921
2026-03-06 21:14:18.317474,17759613
2026-03-06 21:14:18.319369,17901905
2026-03-06 21:14:18.319375,17872129
2026-03-06 21:14:18.31938,17677429
2026-03-06 21:14:18.319384,17903108
2026-03-06 21:14:18.319389,17902001
2026-03-06 21:14:18.319393,17902088
2026-03-06 21:14:18.319398,17670865
2026-03-06 21:14:18.319402,17887354
2026-03-06 21:14:18.319407,17897794
2026-03-06 21:14:18.332794,17917366
2026-03-06 21:14:18.332804,17763798
2026-03-06 21:14:18.332808,17901902
2026-03-06 21:14:18.332813,17910723
2026-03-06 21:14:18.332817,17911413
2026-03-06 21:14:18.332822,17903788
2026-03-06 21:14:18.332826,17918741
2026-03-06 21:14:18.332831,17687386
2026-03-06 21:14:18.332835,17892107
2026-03-06 21:14:18.467988,17878840
2026-03-06 21:14:18.467995,17901097
2026-03-06 21:14:18.468,17732949
2026-03-06 21:14:18.468004,17908845
2026-03-06 21:14:18.468009,17710468
2026-03-06 21:14:18.468013,17899401
2026-03-06 21:14:18.468018,17902250
2026-03-06 21:14:18.468022,17769269
2026-03-06 21:14:18.468027,17888207
2026-03-06 21:14:18.603043,17926829
2026-03-06 21:14:18.603053,17921969
2026-03-06 21:14:18.603059,17823293
2026-03-06 21:14:18.603065,17958653
2026-03-06 21:14:18.603071,17922946
2026-03-06 21:14:18.603077,17924886
2026-03-06 21:14:18.603084,17916548
2026-03-06 21:14:18.60309,17694522
2026-03-06 21:14:18.603096,17899981
2026-03-06 21:14:18.737767,17731632
2026-03-06 21:14:18.737789,17677180
2026-03-06 21:14:18.737793,17948304
2026-03-06 21:14:18.737798,17914965
2026-03-06 21:14:18.737802,17960848
2026-03-06 21:14:18.737807,17800083
2026-03-06 21:14:18.737811,17928529
2026-03-06 21:14:18.737816,17676131
2026-03-06 21:14:18.73782,17938245
2026-03-06 21:14:18.87273,17746455
