time,PT_Cal.Ox_Upstream.timestamp_ns
2026-03-06 21:14:19.0927,1772831659092082184
2026-03-06 21:14:19.092813,1772831659092082184
2026-03-06 21:14:19.093187,1772831659093177349
2026-03-06 21:14:19.202965,1772831659202114274
2026-03-06 21:14:19.20339,1772831659203251427
2026-03-06 21:14:19.31208,1772831659311069201
2026-03-06 21:14:19.31215,1772831659311069201
2026-03-06 21:14:19.312211,1772831659312128923
2026-03-06 21:14:19.420957,1772831659420101380
2026-03-06 21:14:19.421123,1772831659421107404
2026-03-06 21:14:19.421459,1772831659420101380
2026-03-06 21:14:19.529595,1772831659528952926
2026-03-06 21:14:19.529676,1772831659528952926
2026-03-06 21:14:19.529754,1772831659528952926
2026-03-06 21:14:19.529845,1772831659528952926
2026-03-06 21:14:19.529979,1772831659529968395
2026-03-06 21:14:19.639538,1772831659638296889
2026-03-06 21:14:19.639952,1772831659638296889
2026-03-06 21:14:19.64036,1772831659638296889
2026-03-06 21:14:19.641155,1772831659638296889
2026-03-06 21:14:19.642788,1772831659642741407
2026-03-06 21:14:19.748037,1772831659747021027
2026-03-06 21:14:19.748298,1772831659747021027
2026-03-06 21:14:19.74859,1772831659747021027
2026-03-06 21:14:19.748711,1772831659748641748
2026-03-06 21:14:19.748977,1772831659747021027
2026-03-06 21:14:19.857385,1772831659856300848
2026-03-06 21:14:19.857628,1772831659856300848
2026-03-06 21:14:19.857891,1772831659856300848
2026-03-06 21:14:19.858077,1772831659858055831
2026-03-06 21:14:19.858209,1772831659856300848
2026-03-06 21:14:19.966056,1772831659964943932
2026-03-06 21:14:19.966453,1772831659964943932
2026-03-06 21:14:19.966861,1772831659964943932
2026-03-06 21:14:19.967142,1772831659964943932
2026-03-06 21:14:19.967403,1772831659966933483
2026-03-06 21:14:19.967643,1772831659964943932
2026-03-06 21:14:20.074844,1772831660074229210
2026-03-06 21:14:20.074887,1772831660074229210
2026-03-06 21:14:20.074959,1772831660074229210
2026-03-06 21:14:20.075038,1772831660074229210
2026-03-06 21:14:20.075114,1772831660074229210
2026-03-06 21:14:20.075205,1772831660074229210
2026-03-06 21:14:20.075281,1772831660074229210
2026-03-06 21:14:20.075359,1772831660074229210
2026-03-06 21:14:20.075732,1772831660075696146
2026-03-06 21:14:20.183605,1772831660183138135
2026-03-06 21:14:20.183653,1772831660183138135
2026-03-06 21:14:20.183748,1772831660183138135
2026-03-06 21:14:20.183823,1772831660183138135
2026-03-06 21:14:20.183904,1772831660183892976
2026-03-06 21:14:20.183904,1772831660183138135
2026-03-06 21:14:20.292665,1772831660291965547
2026-03-06 21:14:20.292749,1772831660291965547
2026-03-06 21:14:20.29283,1772831660291965547
2026-03-06 21:14:20.292917,1772831660291965547
2026-03-06 21:14:20.293011,1772831660291965547
2026-03-06 21:14:20.293317,1772831660293305648
2026-03-06 21:14:20.40132,1772831660400907140
2026-03-06 21:14:20.401403,1772831660400907140
2026-03-06 21:14:20.401614,1772831660400907140
2026-03-06 21:14:20.402153,1772831660402133945
2026-03-06 21:14:20.510683,1772831660510416568
2026-03-06 21:14:20.510757,1772831660510416568
2026-03-06 21:14:20.510857,1772831660510416568
2026-03-06 21:14:20.510964,1772831660510416568
2026-03-06 21:14:20.511074,1772831660510416568
2026-03-06 21:14:20.511094,1772831660511078904
2026-03-06 21:14:20.619492,1772831660619086015
2026-03-06 21:14:20.61954,1772831660619086015
2026-03-06 21:14:20.619595,1772831660619086015
2026-03-06 21:14:20.619735,1772831660619722231
2026-03-06 21:14:20.61991,1772831660619086015
2026-03-06 21:14:20.619959,1772831660619086015
2026-03-06 21:14:20.619997,1772831660619086015
2026-03-06 21:14:20.728571,1772831660728201620
2026-03-06 21:14:20.728664,1772831660728201620
2026-03-06 21:14:20.728751,1772831660728201620
2026-03-06 21:14:20.728851,1772831660728201620
2026-03-06 21:14:20.729822,1772831660729799842
2026-03-06 21:14:20.837789,1772831660836906695
2026-03-06 21:14:20.837845,1772831660836906695
2026-03-06 21:14:20.837886,1772831660836906695
2026-03-06 21:14:20.837931,1772831660836906695
2026-03-06 21:14:20.837995,1772831660836906695
2026-03-06 21:14:20.838075,1772831660836906695
2026-03-06 21:14:20.838102,1772831660838091824
2026-03-06 21:14:20.838175,1772831660836906695
2026-03-06 21:14:20.838261,1772831660836906695
2026-03-06 21:14:20.83835,1772831660836906695
2026-03-06 21:14:20.946823,1772831660946168391
2026-03-06 21:14:20.946979,1772831660946168391
