time,ACT.GSE_High_Press_Control.actuator_state
2026-03-06 21:14:18.309435,0
2026-03-06 21:14:18.309694,0
2026-03-06 21:14:18.310528,0
2026-03-06 21:14:18.31059,0
2026-03-06 21:14:18.310639,0
2026-03-06 21:14:18.311403,0
2026-03-06 21:14:18.312081,0
2026-03-06 21:14:18.312144,0
2026-03-06 21:14:18.3122,0
2026-03-06 21:14:18.312246,0
2026-03-06 21:14:18.312294,0
2026-03-06 21:14:18.312953,0
2026-03-06 21:14:18.313017,0
2026-03-06 21:14:18.313066,0
2026-03-06 21:14:18.313114,0
2026-03-06 21:14:18.313812,0
2026-03-06 21:14:18.313879,0
2026-03-06 21:14:18.314516,0
2026-03-06 21:14:18.31458,0
2026-03-06 21:14:18.316437,0
2026-03-06 21:14:18.316629,0
2026-03-06 21:14:18.316814,0
2026-03-06 21:14:18.316961,0
2026-03-06 21:14:18.317177,0
2026-03-06 21:14:18.317234,0
2026-03-06 21:14:18.318428,0
2026-03-06 21:14:18.319247,0
2026-03-06 21:14:18.319459,0
2026-03-06 21:14:18.31964,0
2026-03-06 21:14:18.319736,0
2026-03-06 21:14:18.360167,0
2026-03-06 21:14:18.415485,0
2026-03-06 21:14:18.462192,0
2026-03-06 21:14:18.517413,0
2026-03-06 21:14:18.564539,0
2026-03-06 21:14:18.619173,0
2026-03-06 21:14:18.665943,0
2026-03-06 21:14:18.721236,0
2026-03-06 21:14:18.768297,0
2026-03-06 21:14:18.823558,0
2026-03-06 21:14:18.870316,0
2026-03-06 21:14:18.925369,0
2026-03-06 21:14:18.972185,0
2026-03-06 21:14:19.027633,0
2026-03-06 21:14:19.074162,0
2026-03-06 21:14:19.129213,0
2026-03-06 21:14:19.17646,0
2026-03-06 21:14:19.231434,0
2026-03-06 21:14:19.278319,0
2026-03-06 21:14:19.333764,0
2026-03-06 21:14:19.380068,0
2026-03-06 21:14:19.435191,0
2026-03-06 21:14:19.482121,0
2026-03-06 21:14:19.53731,0
2026-03-06 21:14:19.584655,0
2026-03-06 21:14:19.639747,0
2026-03-06 21:14:19.686438,0
2026-03-06 21:14:19.741458,0
2026-03-06 21:14:19.788708,0
2026-03-06 21:14:19.843736,0
2026-03-06 21:14:19.890062,0
2026-03-06 21:14:19.945667,0
2026-03-06 21:14:19.992898,0
2026-03-06 21:14:20.047597,0
2026-03-06 21:14:20.094037,0
2026-03-06 21:14:20.149492,0
2026-03-06 21:14:20.196441,0
2026-03-06 21:14:20.251242,0
2026-03-06 21:14:20.298456,0
2026-03-06 21:14:20.353473,0
2026-03-06 21:14:20.400442,0
2026-03-06 21:14:20.455786,0
2026-03-06 21:14:20.50223,0
2026-03-06 21:14:20.557478,0
2026-03-06 21:14:20.604522,0
2026-03-06 21:14:20.659147,0
2026-03-06 21:14:20.706281,0
2026-03-06 21:14:20.761724,0
2026-03-06 21:14:20.808776,0
2026-03-06 21:14:20.86333,0
2026-03-06 21:14:20.910227,0
2026-03-06 21:14:20.965702,0
2026-03-06 21:14:21.012431,0
2026-03-06 21:14:21.06726,0
2026-03-06 21:14:21.114573,0
2026-03-06 21:14:21.16982,0
2026-03-06 21:14:21.216237,0
2026-03-06 21:14:21.271681,0
2026-03-06 21:14:21.318334,0
2026-03-06 21:14:21.373509,0
2026-03-06 21:14:21.420326,0
2026-03-06 21:14:21.475569,0
2026-03-06 21:14:21.522582,0
2026-03-06 21:14:21.577375,0
2026-03-06 21:14:21.6244,0
2026-03-06 21:14:21.679506,0
2026-03-06 21:14:21.726122,0
2026-03-06 21:14:21.781837,0
2026-03-06 21:14:21.8282,0
2026-03-06 21:14:21.883298,0
2026-03-06 21:14:21.930386,0
2026-03-06 21:14:21.985892,0
2026-03-06 21:14:22.032633,0
2026-03-06 21:14:22.087912,0
2026-03-06 21:14:22.134477,0
2026-03-06 21:14:22.1897,0
2026-03-06 21:14:22.236472,0
2026-03-06 21:14:22.291517,0
2026-03-06 21:14:22.338232,0
2026-03-06 21:14:22.393612,0
2026-03-06 21:14:22.440412,0
2026-03-06 21:14:22.495592,0
2026-03-06 21:14:22.542515,0
2026-03-06 21:14:22.597808,0
2026-03-06 21:14:22.644627,0
2026-03-06 21:14:22.699644,0
2026-03-06 21:14:22.746352,0
2026-03-06 21:14:22.80151,0
2026-03-06 21:14:22.848294,0
2026-03-06 21:14:22.903681,0
2026-03-06 21:14:22.95043,0
2026-03-06 21:14:23.00532,0
2026-03-06 21:14:23.052314,0
2026-03-06 21:14:23.107712,0
2026-03-06 21:14:23.154361,0
2026-03-06 21:14:23.209403,0
2026-03-06 21:14:23.25626,0
2026-03-06 21:14:23.311605,0
2026-03-06 21:14:23.358124,0
2026-03-06 21:14:23.413374,0
2026-03-06 21:14:23.460355,0
2026-03-06 21:14:23.515437,0
2026-03-06 21:14:23.562572,0
2026-03-06 21:14:23.61786,0
2026-03-06 21:14:23.664588,0
2026-03-06 21:14:23.719478,0
2026-03-06 21:14:23.766518,0
2026-03-06 21:14:23.821623,0
2026-03-06 21:14:23.868263,0
2026-03-06 21:14:23.923854,0
2026-03-06 21:14:23.970515,0
2026-03-06 21:14:24.026442,0
2026-03-06 21:14:24.072149,0
2026-03-06 21:14:24.127912,0
2026-03-06 21:14:24.174212,0
2026-03-06 21:14:24.229507,0
2026-03-06 21:14:24.27619,0
2026-03-06 21:14:24.331381,0
2026-03-06 21:14:24.378509,0
2026-03-06 21:14:24.433654,0
2026-03-06 21:14:24.480571,0
2026-03-06 21:14:24.535433,0
2026-03-06 21:14:24.582104,0
2026-03-06 21:14:24.637756,0
2026-03-06 21:14:24.684533,0
2026-03-06 21:14:24.7397,0
2026-03-06 21:14:24.786461,0
2026-03-06 21:14:24.841273,0
2026-03-06 21:14:24.888397,0
2026-03-06 21:14:24.943602,0
2026-03-06 21:14:24.990398,0
2026-03-06 21:14:25.045857,0
2026-03-06 21:14:25.092526,0
