time,PT_Cal.Fuel_Downstream.channel_id
2026-03-06 21:14:19.092634,3
2026-03-06 21:14:19.092806,3
2026-03-06 21:14:19.092843,3
2026-03-06 21:14:19.092971,3
2026-03-06 21:14:19.202914,3
2026-03-06 21:14:19.203124,3
2026-03-06 21:14:19.312047,3
2026-03-06 21:14:19.312136,3
2026-03-06 21:14:19.312188,3
2026-03-06 21:14:19.312201,3
2026-03-06 21:14:19.420843,3
2026-03-06 21:14:19.420961,3
2026-03-06 21:14:19.421319,3
2026-03-06 21:14:19.529573,3
2026-03-06 21:14:19.529644,3
2026-03-06 21:14:19.529733,3
2026-03-06 21:14:19.529833,3
2026-03-06 21:14:19.529919,3
2026-03-06 21:14:19.639422,3
2026-03-06 21:14:19.639817,3
2026-03-06 21:14:19.640299,3
2026-03-06 21:14:19.64105,3
2026-03-06 21:14:19.642439,3
2026-03-06 21:14:19.747967,3
2026-03-06 21:14:19.748234,3
2026-03-06 21:14:19.748522,3
2026-03-06 21:14:19.748615,3
2026-03-06 21:14:19.748856,3
2026-03-06 21:14:19.857319,3
2026-03-06 21:14:19.857561,3
2026-03-06 21:14:19.857821,3
2026-03-06 21:14:19.857917,3
2026-03-06 21:14:19.858101,3
2026-03-06 21:14:19.965958,3
2026-03-06 21:14:19.966372,3
2026-03-06 21:14:19.966672,3
2026-03-06 21:14:19.966771,3
2026-03-06 21:14:19.967036,3
2026-03-06 21:14:19.967541,3
2026-03-06 21:14:20.07483,3
2026-03-06 21:14:20.074881,3
2026-03-06 21:14:20.074938,3
2026-03-06 21:14:20.07502,3
2026-03-06 21:14:20.075093,3
2026-03-06 21:14:20.075184,3
2026-03-06 21:14:20.075261,3
2026-03-06 21:14:20.075338,3
2026-03-06 21:14:20.075421,3
2026-03-06 21:14:20.075562,3
2026-03-06 21:14:20.183547,3
2026-03-06 21:14:20.183645,3
2026-03-06 21:14:20.183723,3
2026-03-06 21:14:20.183804,3
2026-03-06 21:14:20.183845,3
2026-03-06 21:14:20.183883,3
2026-03-06 21:14:20.292626,3
2026-03-06 21:14:20.292724,3
2026-03-06 21:14:20.292809,3
2026-03-06 21:14:20.292895,3
2026-03-06 21:14:20.292978,3
2026-03-06 21:14:20.293248,3
2026-03-06 21:14:20.401289,3
2026-03-06 21:14:20.40138,3
2026-03-06 21:14:20.401541,3
2026-03-06 21:14:20.401589,3
2026-03-06 21:14:20.510659,3
2026-03-06 21:14:20.510725,3
2026-03-06 21:14:20.510818,3
2026-03-06 21:14:20.510944,3
2026-03-06 21:14:20.510969,3
2026-03-06 21:14:20.51104,3
2026-03-06 21:14:20.619452,3
2026-03-06 21:14:20.619532,3
2026-03-06 21:14:20.619583,3
2026-03-06 21:14:20.619645,3
2026-03-06 21:14:20.619895,3
2026-03-06 21:14:20.619946,3
2026-03-06 21:14:20.619989,3
2026-03-06 21:14:20.728538,3
2026-03-06 21:14:20.728639,3
2026-03-06 21:14:20.728727,3
2026-03-06 21:14:20.728819,3
2026-03-06 21:14:20.729481,3
