time,PT_Cal.GSE_High.raw_adc
2026-03-06 21:14:19.101711,573235675
2026-03-06 21:14:19.101963,573235675
2026-03-06 21:14:19.102138,573504665
2026-03-06 21:14:19.102182,573239047
2026-03-06 21:14:19.102449,573311180
2026-03-06 21:14:19.102466,573381293
2026-03-06 21:14:19.102737,573202642
2026-03-06 21:14:19.102762,573398148
2026-03-06 21:14:19.201582,573147361
2026-03-06 21:14:19.201644,573388035
2026-03-06 21:14:19.201912,573493877
2026-03-06 21:14:19.201955,573282867
2026-03-06 21:14:19.202006,573388035
2026-03-06 21:14:19.301792,573198596
2026-03-06 21:14:19.301887,573396125
2026-03-06 21:14:19.301927,573479721
2026-03-06 21:14:19.302021,573299721
2026-03-06 21:14:19.302029,573198596
2026-03-06 21:14:19.302057,573050283
2026-03-06 21:14:19.302115,573390731
2026-03-06 21:14:19.302236,573321293
2026-03-06 21:14:19.401327,573255900
2026-03-06 21:14:19.401586,573285563
2026-03-06 21:14:19.50222,573520844
2026-03-06 21:14:19.502854,573255900
2026-03-06 21:14:19.502871,573520844
2026-03-06 21:14:19.502939,573264664
2026-03-06 21:14:19.503192,573459496
2026-03-06 21:14:19.503417,573106911
2026-03-06 21:14:19.50373,573553204
2026-03-06 21:14:19.504029,573191182
2026-03-06 21:14:19.604631,573403540
2026-03-06 21:14:19.605055,573286911
2026-03-06 21:14:19.605143,573252530
2026-03-06 21:14:19.605256,573301068
2026-03-06 21:14:19.605337,573347585
2026-03-06 21:14:19.605406,573403540
2026-03-06 21:14:19.605569,573081967
2026-03-06 21:14:19.703501,573247811
2026-03-06 21:14:19.703584,573523540
2026-03-06 21:14:19.703629,573335451
2026-03-06 21:14:19.703699,573307136
2026-03-06 21:14:19.703732,573282192
2026-03-06 21:14:19.703822,573299047
2026-03-06 21:14:19.804356,573341518
2026-03-06 21:14:19.804606,573327360
2026-03-06 21:14:19.804832,573300394
2026-03-06 21:14:19.804971,573341518
2026-03-06 21:14:19.805044,573510732
2026-03-06 21:14:19.805274,573450732
2026-03-06 21:14:19.805519,573216125
2026-03-06 21:14:19.907451,573251855
2026-03-06 21:14:19.907521,573257923
2026-03-06 21:14:19.907549,573448035
2026-03-06 21:14:19.907586,573121069
2026-03-06 21:14:19.907634,573244439
2026-03-06 21:14:19.90768,573151407
2026-03-06 21:14:19.907737,573244439
2026-03-06 21:14:19.907776,573251855
2026-03-06 21:14:19.907846,573462867
2026-03-06 21:14:20.007924,573330732
2026-03-06 21:14:20.007976,573309158
2026-03-06 21:14:20.00801,573166912
2026-03-06 21:14:20.008026,573323316
2026-03-06 21:14:20.00805,573491855
2026-03-06 21:14:20.008083,573225564
2026-03-06 21:14:20.008115,573307136
