time,PT_Cal.Fuel_Downstream.timestamp_ns
2026-03-06 21:14:19.092634,1772831659092082184
2026-03-06 21:14:19.092806,1772831659092082184
2026-03-06 21:14:19.092843,1772831659092082184
2026-03-06 21:14:19.092971,1772831659092961575
2026-03-06 21:14:19.202914,1772831659202114274
2026-03-06 21:14:19.203124,1772831659203105928
2026-03-06 21:14:19.312047,1772831659311069201
2026-03-06 21:14:19.312136,1772831659311069201
2026-03-06 21:14:19.312188,1772831659311069201
2026-03-06 21:14:19.312201,1772831659312075271
2026-03-06 21:14:19.420843,1772831659420101380
2026-03-06 21:14:19.420961,1772831659420941121
2026-03-06 21:14:19.421319,1772831659420101380
2026-03-06 21:14:19.529573,1772831659528952926
2026-03-06 21:14:19.529644,1772831659528952926
2026-03-06 21:14:19.529733,1772831659528952926
2026-03-06 21:14:19.529833,1772831659528952926
2026-03-06 21:14:19.529919,1772831659529907651
2026-03-06 21:14:19.639422,1772831659638296889
2026-03-06 21:14:19.639817,1772831659638296889
2026-03-06 21:14:19.640299,1772831659638296889
2026-03-06 21:14:19.64105,1772831659638296889
2026-03-06 21:14:19.642439,1772831659642345911
2026-03-06 21:14:19.747967,1772831659747021027
2026-03-06 21:14:19.748234,1772831659747021027
2026-03-06 21:14:19.748522,1772831659747021027
2026-03-06 21:14:19.748615,1772831659748498760
2026-03-06 21:14:19.748856,1772831659747021027
2026-03-06 21:14:19.857319,1772831659856300848
2026-03-06 21:14:19.857561,1772831659856300848
2026-03-06 21:14:19.857821,1772831659856300848
2026-03-06 21:14:19.857917,1772831659857894213
2026-03-06 21:14:19.858101,1772831659856300848
2026-03-06 21:14:19.965958,1772831659964943932
2026-03-06 21:14:19.966372,1772831659964943932
2026-03-06 21:14:19.966672,1772831659964943932
2026-03-06 21:14:19.966771,1772831659966706681
2026-03-06 21:14:19.967036,1772831659964943932
2026-03-06 21:14:19.967541,1772831659964943932
2026-03-06 21:14:20.07483,1772831660074229210
2026-03-06 21:14:20.074881,1772831660074229210
2026-03-06 21:14:20.074938,1772831660074229210
2026-03-06 21:14:20.07502,1772831660074229210
2026-03-06 21:14:20.075093,1772831660074229210
2026-03-06 21:14:20.075184,1772831660074229210
2026-03-06 21:14:20.075261,1772831660074229210
2026-03-06 21:14:20.075338,1772831660074229210
2026-03-06 21:14:20.075421,1772831660074229210
2026-03-06 21:14:20.075562,1772831660075545337
2026-03-06 21:14:20.183547,1772831660183138135
2026-03-06 21:14:20.183645,1772831660183138135
2026-03-06 21:14:20.183723,1772831660183138135
2026-03-06 21:14:20.183804,1772831660183138135
2026-03-06 21:14:20.183845,1772831660183834263
2026-03-06 21:14:20.183883,1772831660183138135
2026-03-06 21:14:20.292626,1772831660291965547
2026-03-06 21:14:20.292724,1772831660291965547
2026-03-06 21:14:20.292809,1772831660291965547
2026-03-06 21:14:20.292895,1772831660291965547
2026-03-06 21:14:20.292978,1772831660291965547
2026-03-06 21:14:20.293248,1772831660293236096
2026-03-06 21:14:20.401289,1772831660400907140
2026-03-06 21:14:20.40138,1772831660400907140
2026-03-06 21:14:20.401541,1772831660400907140
2026-03-06 21:14:20.401589,1772831660401578903
2026-03-06 21:14:20.510659,1772831660510416568
2026-03-06 21:14:20.510725,1772831660510416568
2026-03-06 21:14:20.510818,1772831660510416568
2026-03-06 21:14:20.510944,1772831660510416568
2026-03-06 21:14:20.510969,1772831660510952120
2026-03-06 21:14:20.51104,1772831660510416568
2026-03-06 21:14:20.619452,1772831660619086015
2026-03-06 21:14:20.619532,1772831660619086015
2026-03-06 21:14:20.619583,1772831660619086015
2026-03-06 21:14:20.619645,1772831660619632625
2026-03-06 21:14:20.619895,1772831660619086015
2026-03-06 21:14:20.619946,1772831660619086015
2026-03-06 21:14:20.619989,1772831660619086015
2026-03-06 21:14:20.728538,1772831660728201620
2026-03-06 21:14:20.728639,1772831660728201620
2026-03-06 21:14:20.728727,1772831660728201620
2026-03-06 21:14:20.728819,1772831660728201620
2026-03-06 21:14:20.729481,1772831660729304028
2026-03-06 21:14:20.837752,1772831660836906695
2026-03-06 21:14:20.837834,1772831660836906695
2026-03-06 21:14:20.837877,1772831660836906695
2026-03-06 21:14:20.837918,1772831660836906695
2026-03-06 21:14:20.837972,1772831660836906695
2026-03-06 21:14:20.838044,1772831660838032705
2026-03-06 21:14:20.838053,1772831660836906695
2026-03-06 21:14:20.838149,1772831660836906695
2026-03-06 21:14:20.838234,1772831660836906695
2026-03-06 21:14:20.838329,1772831660836906695
2026-03-06 21:14:20.946796,1772831660946168391
2026-03-06 21:14:20.946954,1772831660946168391
2026-03-06 21:14:20.947041,1772831660946168391
2026-03-06 21:14:20.947135,1772831660946168391
2026-03-06 21:14:20.947236,1772831660947122514
2026-03-06 21:14:20.947266,1772831660946168391
2026-03-06 21:14:20.947394,1772831660946168391
2026-03-06 21:14:21.055715,1772831661055116495
2026-03-06 21:14:21.055816,1772831661055116495
2026-03-06 21:14:21.055865,1772831661055116495
2026-03-06 21:14:21.055992,1772831661055116495
2026-03-06 21:14:21.056142,1772831661056120371
2026-03-06 21:14:21.056147,1772831661055116495
2026-03-06 21:14:21.056392,1772831661055116495
2026-03-06 21:14:21.165215,1772831661164202226
2026-03-06 21:14:21.165504,1772831661164202226
2026-03-06 21:14:21.165781,1772831661164202226
2026-03-06 21:14:21.165999,1772831661165946680
2026-03-06 21:14:21.166109,1772831661164202226
2026-03-06 21:14:21.166325,1772831661164202226
2026-03-06 21:14:21.275064,1772831661273479824
2026-03-06 21:14:21.275322,1772831661273479824
2026-03-06 21:14:21.27533,1772831661275285806
2026-03-06 21:14:21.275594,1772831661273479824
2026-03-06 21:14:21.275909,1772831661273479824
2026-03-06 21:14:21.27617,1772831661273479824
2026-03-06 21:14:21.383031,1772831661382267950
2026-03-06 21:14:21.383296,1772831661382267950
2026-03-06 21:14:21.383515,1772831661382267950
2026-03-06 21:14:21.383762,1772831661382267950
2026-03-06 21:14:21.38401,1772831661382267950
2026-03-06 21:14:21.384126,1772831661384090649
2026-03-06 21:14:21.4927,1772831661491497660
2026-03-06 21:14:21.49283,1772831661492807106
2026-03-06 21:14:21.492837,1772831661491497660
2026-03-06 21:14:21.493056,1772831661491497660
2026-03-06 21:14:21.493725,1772831661491497660
2026-03-06 21:14:21.494631,1772831661491497660
2026-03-06 21:14:21.494769,1772831661491497660
2026-03-06 21:14:21.494911,1772831661491497660
2026-03-06 21:14:21.495323,1772831661491497660
2026-03-06 21:14:21.601229,1772831661600491439
2026-03-06 21:14:21.601454,1772831661600491439
2026-03-06 21:14:21.601666,1772831661600491439
2026-03-06 21:14:21.601818,1772831661601790216
2026-03-06 21:14:21.601906,1772831661600491439
2026-03-06 21:14:21.602171,1772831661600491439
2026-03-06 21:14:21.602429,1772831661600491439
2026-03-06 21:14:21.710399,1772831661709246873
2026-03-06 21:14:21.71085,1772831661709246873
2026-03-06 21:14:21.711302,1772831661709246873
2026-03-06 21:14:21.711497,1772831661709246873
2026-03-06 21:14:21.711554,1772831661711513726
2026-03-06 21:14:21.71169,1772831661709246873
2026-03-06 21:14:21.711878,1772831661709246873
2026-03-06 21:14:21.712079,1772831661709246873
2026-03-06 21:14:21.818832,1772831661818058284
2026-03-06 21:14:21.819077,1772831661818058284
2026-03-06 21:14:21.819364,1772831661818058284
2026-03-06 21:14:21.819502,1772831661819468773
2026-03-06 21:14:21.819635,1772831661818058284
2026-03-06 21:14:21.819904,1772831661818058284
2026-03-06 21:14:21.927851,1772831661927126163
2026-03-06 21:14:21.92804,1772831661927126163
2026-03-06 21:14:21.928257,1772831661927126163
2026-03-06 21:14:21.928447,1772831661928419211
2026-03-06 21:14:21.928451,1772831661927126163
2026-03-06 21:14:21.928633,1772831661927126163
2026-03-06 21:14:22.036873,1772831662036090039
2026-03-06 21:14:22.037126,1772831662036090039
2026-03-06 21:14:22.037404,1772831662036090039
2026-03-06 21:14:22.037643,1772831662036090039
2026-03-06 21:14:22.037898,1772831662036090039
2026-03-06 21:14:22.037901,1772831662037857321
2026-03-06 21:14:22.038197,1772831662036090039
2026-03-06 21:14:22.145617,1772831662145022078
2026-03-06 21:14:22.145733,1772831662145022078
2026-03-06 21:14:22.145921,1772831662145022078
2026-03-06 21:14:22.146237,1772831662145022078
2026-03-06 21:14:22.146372,1772831662146342002
2026-03-06 21:14:22.146444,1772831662145022078
2026-03-06 21:14:22.254894,1772831662254193250
2026-03-06 21:14:22.25533,1772831662254193250
2026-03-06 21:14:22.255567,1772831662254193250
2026-03-06 21:14:22.255857,1772831662254193250
2026-03-06 21:14:22.255976,1772831662255930863
2026-03-06 21:14:22.256283,1772831662254193250
2026-03-06 21:14:22.256602,1772831662254193250
2026-03-06 21:14:22.256942,1772831662254193250
2026-03-06 21:14:22.364045,1772831662363250278
2026-03-06 21:14:22.364293,1772831662363250278
2026-03-06 21:14:22.364517,1772831662363250278
2026-03-06 21:14:22.364752,1772831662363250278
2026-03-06 21:14:22.36492,1772831662364884751
2026-03-06 21:14:22.364994,1772831662363250278
2026-03-06 21:14:22.473109,1772831662472228320
2026-03-06 21:14:22.473333,1772831662472228320
2026-03-06 21:14:22.473556,1772831662472228320
2026-03-06 21:14:22.473749,1772831662472228320
2026-03-06 21:14:22.473966,1772831662472228320
2026-03-06 21:14:22.474177,1772831662474121399
2026-03-06 21:14:22.474241,1772831662472228320
2026-03-06 21:14:22.582095,1772831662581416725
2026-03-06 21:14:22.582207,1772831662581416725
2026-03-06 21:14:22.582337,1772831662581416725
2026-03-06 21:14:22.582504,1772831662581416725
2026-03-06 21:14:22.582568,1772831662581416725
2026-03-06 21:14:22.582598,1772831662582564056
2026-03-06 21:14:22.58263,1772831662581416725
2026-03-06 21:14:22.582779,1772831662581416725
2026-03-06 21:14:22.690658,1772831662690198538
2026-03-06 21:14:22.690716,1772831662690198538
2026-03-06 21:14:22.690739,1772831662690198538
2026-03-06 21:14:22.690764,1772831662690198538
2026-03-06 21:14:22.690798,1772831662690198538
2026-03-06 21:14:22.690845,1772831662690198538
2026-03-06 21:14:22.691054,1772831662691039626
2026-03-06 21:14:22.799754,1772831662799126457
2026-03-06 21:14:22.799818,1772831662799126457
2026-03-06 21:14:22.799858,1772831662799126457
2026-03-06 21:14:22.799906,1772831662799126457
2026-03-06 21:14:22.799985,1772831662799126457
2026-03-06 21:14:22.800058,1772831662799126457
2026-03-06 21:14:22.800148,1772831662799126457
2026-03-06 21:14:22.800235,1772831662799126457
2026-03-06 21:14:22.800309,1772831662800293660
2026-03-06 21:14:22.909175,1772831662908456630
2026-03-06 21:14:22.909234,1772831662908456630
2026-03-06 21:14:22.909293,1772831662908456630
2026-03-06 21:14:22.909364,1772831662908456630
2026-03-06 21:14:22.90944,1772831662908456630
2026-03-06 21:14:22.909521,1772831662908456630
2026-03-06 21:14:22.909596,1772831662908456630
2026-03-06 21:14:22.909658,1772831662909639969
2026-03-06 21:14:23.017902,1772831663017411011
2026-03-06 21:14:23.017978,1772831663017411011
2026-03-06 21:14:23.018031,1772831663017411011
2026-03-06 21:14:23.018081,1772831663017411011
2026-03-06 21:14:23.018123,1772831663017411011
2026-03-06 21:14:23.018469,1772831663018438733
2026-03-06 21:14:23.126705,1772831663126410044
2026-03-06 21:14:23.126779,1772831663126410044
2026-03-06 21:14:23.126867,1772831663126410044
2026-03-06 21:14:23.126963,1772831663126410044
2026-03-06 21:14:23.127072,1772831663126410044
2026-03-06 21:14:23.127186,1772831663127153426
2026-03-06 21:14:23.236,1772831663235275886
2026-03-06 21:14:23.236316,1772831663235275886
