time,LC_Cal.CH2.cal_status
2026-03-06 21:14:19.055958,0
2026-03-06 21:14:19.056296,0
2026-03-06 21:14:19.123328,0
2026-03-06 21:14:19.223321,0
2026-03-06 21:14:19.223742,0
2026-03-06 21:14:19.323211,0
2026-03-06 21:14:19.423621,0
2026-03-06 21:14:19.424046,0
2026-03-06 21:14:19.523367,0
2026-03-06 21:14:19.523388,0
2026-03-06 21:14:19.523431,0
2026-03-06 21:14:19.523491,0
2026-03-06 21:14:19.623635,0
2026-03-06 21:14:19.623785,0
2026-03-06 21:14:19.623946,0
2026-03-06 21:14:19.624103,0
2026-03-06 21:14:19.624915,0
2026-03-06 21:14:19.725092,0
2026-03-06 21:14:19.725203,0
2026-03-06 21:14:19.725302,0
2026-03-06 21:14:19.725734,0
2026-03-06 21:14:19.72581,0
2026-03-06 21:14:19.725811,0
2026-03-06 21:14:19.826928,0
2026-03-06 21:14:19.827391,0
2026-03-06 21:14:19.830256,0
2026-03-06 21:14:19.927461,0
2026-03-06 21:14:19.927517,0
2026-03-06 21:14:19.927579,0
2026-03-06 21:14:19.927642,0
2026-03-06 21:14:19.92771,0
2026-03-06 21:14:19.92777,0
2026-03-06 21:14:19.927837,0
2026-03-06 21:14:19.927902,0
2026-03-06 21:14:19.927964,0
2026-03-06 21:14:20.027039,0
2026-03-06 21:14:20.027094,0
2026-03-06 21:14:20.027165,0
2026-03-06 21:14:20.027238,0
2026-03-06 21:14:20.027293,0
2026-03-06 21:14:20.027354,0
2026-03-06 21:14:20.027358,0
2026-03-06 21:14:20.127155,0
2026-03-06 21:14:20.127189,0
2026-03-06 21:14:20.127202,0
2026-03-06 21:14:20.127216,0
2026-03-06 21:14:20.127239,0
2026-03-06 21:14:20.127701,0
2026-03-06 21:14:20.227442,0
2026-03-06 21:14:20.227506,0
2026-03-06 21:14:20.227558,0
2026-03-06 21:14:20.2276,0
2026-03-06 21:14:20.227648,0
2026-03-06 21:14:20.227787,0
2026-03-06 21:14:20.227819,0
2026-03-06 21:14:20.327126,0
2026-03-06 21:14:20.327169,0
2026-03-06 21:14:20.327208,0
2026-03-06 21:14:20.327247,0
2026-03-06 21:14:20.327283,0
