time,PT_Cal.Ox_Downstream.pressure_psi
2026-03-06 21:14:19.092767,0.0
2026-03-06 21:14:19.09283,0.0
2026-03-06 21:14:19.093285,0.19825095
2026-03-06 21:14:19.203183,0.0
2026-03-06 21:14:19.203713,0.19815993
2026-03-06 21:14:19.312108,0.0
2026-03-06 21:14:19.312166,0.0
2026-03-06 21:14:19.312236,0.19742164
2026-03-06 21:14:19.421097,0.0
2026-03-06 21:14:19.42137,0.19870472
2026-03-06 21:14:19.421574,0.0
2026-03-06 21:14:19.529617,0.0
2026-03-06 21:14:19.529701,0.0
2026-03-06 21:14:19.529775,0.0
2026-03-06 21:14:19.529856,0.0
2026-03-06 21:14:19.530036,0.19824152
2026-03-06 21:14:19.639647,0.0
2026-03-06 21:14:19.640191,0.0
2026-03-06 21:14:19.640516,0.0
2026-03-06 21:14:19.64302,0.1975956
2026-03-06 21:14:19.748107,0.0
2026-03-06 21:14:19.748386,0.0
2026-03-06 21:14:19.748697,0.0
2026-03-06 21:14:19.748811,0.1986629
2026-03-06 21:14:19.749055,0.0
2026-03-06 21:14:19.857463,0.0
2026-03-06 21:14:19.857708,0.0
2026-03-06 21:14:19.857972,0.0
2026-03-06 21:14:19.85825,0.19813363
2026-03-06 21:14:19.858278,0.0
2026-03-06 21:14:19.966176,0.0
2026-03-06 21:14:19.966541,0.0
2026-03-06 21:14:19.966921,0.0
2026-03-06 21:14:19.967269,0.0
2026-03-06 21:14:19.967818,0.0
2026-03-06 21:14:19.968255,0.19814779
2026-03-06 21:14:20.074867,0.0
2026-03-06 21:14:20.074905,0.0
2026-03-06 21:14:20.074981,0.0
2026-03-06 21:14:20.075061,0.0
2026-03-06 21:14:20.075141,0.0
2026-03-06 21:14:20.075226,0.0
2026-03-06 21:14:20.075301,0.0
2026-03-06 21:14:20.075386,0.0
2026-03-06 21:14:20.075858,0.19744995
2026-03-06 21:14:20.183627,0.0
2026-03-06 21:14:20.18369,0.0
2026-03-06 21:14:20.183769,0.0
2026-03-06 21:14:20.183845,0.0
2026-03-06 21:14:20.183932,0.0
2026-03-06 21:14:20.183959,0.19139394
2026-03-06 21:14:20.292692,0.0
2026-03-06 21:14:20.292771,0.0
2026-03-06 21:14:20.292853,0.0
2026-03-06 21:14:20.29294,0.0
2026-03-06 21:14:20.293034,0.0
2026-03-06 21:14:20.293392,0.19831635
2026-03-06 21:14:20.401353,0.0
2026-03-06 21:14:20.40148,0.0
2026-03-06 21:14:20.402296,0.19810599
2026-03-06 21:14:20.510702,0.0
2026-03-06 21:14:20.510779,0.0
2026-03-06 21:14:20.510904,0.0
2026-03-06 21:14:20.511,0.0
2026-03-06 21:14:20.511092,0.0
2026-03-06 21:14:20.511235,0.198226
2026-03-06 21:14:20.619511,0.0
2026-03-06 21:14:20.619546,0.0
2026-03-06 21:14:20.619796,0.19846739
2026-03-06 21:14:20.619857,0.0
2026-03-06 21:14:20.61992,0.0
2026-03-06 21:14:20.619969,0.0
2026-03-06 21:14:20.620007,0.0
2026-03-06 21:14:20.728596,0.0
2026-03-06 21:14:20.728692,0.0
2026-03-06 21:14:20.728778,0.0
2026-03-06 21:14:20.728879,0.0
2026-03-06 21:14:20.729962,0.1978572
2026-03-06 21:14:20.837813,0.0
2026-03-06 21:14:20.837855,0.0
2026-03-06 21:14:20.837901,0.0
2026-03-06 21:14:20.837941,0.0
2026-03-06 21:14:20.83802,0.0
2026-03-06 21:14:20.838099,0.0
2026-03-06 21:14:20.838177,0.19741489
2026-03-06 21:14:20.838195,0.0
2026-03-06 21:14:20.838287,0.0
2026-03-06 21:14:20.838376,0.0
2026-03-06 21:14:20.946917,0.0
2026-03-06 21:14:20.947004,0.0
2026-03-06 21:14:20.947095,0.0
2026-03-06 21:14:20.947218,0.0
2026-03-06 21:14:20.947327,0.0
2026-03-06 21:14:20.947484,0.0
2026-03-06 21:14:20.9477,0.19815454
2026-03-06 21:14:21.055778,0.0
