time,PT_Cal.GSE_Mid.pressure_psi
2026-03-06 21:14:19.101863,487.6266
2026-03-06 21:14:19.102145,488.17435
2026-03-06 21:14:19.102435,488.26834
2026-03-06 21:14:19.102454,487.94748
2026-03-06 21:14:19.102502,0.5731622
2026-03-06 21:14:19.102723,488.40118
2026-03-06 21:14:19.102741,487.7533
2026-03-06 21:14:19.103012,487.9066
2026-03-06 21:14:19.2016,488.03738
2026-03-06 21:14:19.201897,488.04965
2026-03-06 21:14:19.201921,487.4488
2026-03-06 21:14:19.201998,487.69403
2026-03-06 21:14:19.301853,487.82687
2026-03-06 21:14:19.301893,488.71185
2026-03-06 21:14:19.30194,488.27448
2026-03-06 21:14:19.302014,488.19885
2026-03-06 21:14:19.302028,488.32556
2026-03-06 21:14:19.302067,0.57322824
2026-03-06 21:14:19.302078,487.58163
2026-03-06 21:14:19.302136,488.019
2026-03-06 21:14:19.3022,488.113
2026-03-06 21:14:19.302262,488.2336
2026-03-06 21:14:19.401563,488.3317
2026-03-06 21:14:19.502594,487.56323
2026-03-06 21:14:19.502888,488.03738
2026-03-06 21:14:19.503031,488.10687
2026-03-06 21:14:19.503263,488.48703
2026-03-06 21:14:19.503288,0.5731413
2026-03-06 21:14:19.503491,488.33374
2026-03-06 21:14:19.503881,487.37726
2026-03-06 21:14:19.504191,487.75125
2026-03-06 21:14:19.604706,488.4114
2026-03-06 21:14:19.605083,488.13754
2026-03-06 21:14:19.605203,487.506
2026-03-06 21:14:19.605286,488.23975
2026-03-06 21:14:19.605436,488.03738
2026-03-06 21:14:19.605611,488.19067
2026-03-06 21:14:19.606642,0.57342106
2026-03-06 21:14:19.703531,488.2009
2026-03-06 21:14:19.703598,487.5755
2026-03-06 21:14:19.703645,488.11914
2026-03-06 21:14:19.703713,488.05374
2026-03-06 21:14:19.703743,487.6082
2026-03-06 21:14:19.703762,487.87186
2026-03-06 21:14:19.703836,488.21317
2026-03-06 21:14:19.804463,488.10483
2026-03-06 21:14:19.80465,488.45844
2026-03-06 21:14:19.804761,488.13754
2026-03-06 21:14:19.804881,488.33987
2026-03-06 21:14:19.805047,0.57332
2026-03-06 21:14:19.805128,487.6184
2026-03-06 21:14:19.805367,488.0885
2026-03-06 21:14:19.80547,487.6409
2026-03-06 21:14:19.805608,487.65726
2026-03-06 21:14:19.907489,488.17435
2026-03-06 21:14:19.907544,487.86368
2026-03-06 21:14:19.907556,487.7574
2026-03-06 21:14:19.907599,488.00266
2026-03-06 21:14:19.907655,487.80237
2026-03-06 21:14:19.907705,488.03125
2026-03-06 21:14:19.907771,488.299
2026-03-06 21:14:19.907813,0.57334286
2026-03-06 21:14:19.907871,487.47125
2026-03-06 21:14:20.007955,487.87595
2026-03-06 21:14:20.007992,488.19476
2026-03-06 21:14:20.008015,487.88412
2026-03-06 21:14:20.008032,488.5647
2026-03-06 21:14:20.008063,487.6879
2026-03-06 21:14:20.008092,487.69608
2026-03-06 21:14:20.008129,488.4298
2026-03-06 21:14:20.008166,487.8044
2026-03-06 21:14:20.008201,488.11914
2026-03-06 21:14:20.008274,0.57324445
2026-03-06 21:14:20.107776,488.3685
2026-03-06 21:14:20.107805,488.20703
2026-03-06 21:14:20.107836,488.14777
2026-03-06 21:14:20.107866,487.85754
2026-03-06 21:14:20.107891,488.1539
2026-03-06 21:14:20.107927,487.9822
2026-03-06 21:14:20.107959,487.78192
2026-03-06 21:14:20.107985,488.9285
2026-03-06 21:14:20.108018,488.0088
2026-03-06 21:14:20.108363,0.57340693
2026-03-06 21:14:20.207358,487.4692
2026-03-06 21:14:20.207389,488.12527
2026-03-06 21:14:20.207416,488.60965
2026-03-06 21:14:20.207491,487.99857
2026-03-06 21:14:20.207683,487.9536
2026-03-06 21:14:20.207744,487.83505
2026-03-06 21:14:20.307766,488.579
2026-03-06 21:14:20.307802,487.89227
2026-03-06 21:14:20.307808,487.74515
2026-03-06 21:14:20.30783,488.17227
2026-03-06 21:14:20.307863,488.0701
2026-03-06 21:14:20.307931,488.05374
2026-03-06 21:14:20.307969,488.0926
2026-03-06 21:14:20.308431,0.5734764
2026-03-06 21:14:20.407512,487.8698
2026-03-06 21:14:20.407533,487.87595
