# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
0.002,0,0.386,6.003,0.387,6.017,0,0,0,0,0.027,0.42,35.347,-117.809,0.999,85.232,0,0,0,256.352,70.543,11051.259,12.643,NaN,164.546,NaN,0.025,3237018.624,7997.87,0.001,1.24,0.002,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.779,103.407,900.26,1165.811,0.002,0.004
0.004,0.002,0.772,6,0.774,6.014,0,0,0,0,0.054,0.42,35.347,-117.809,0.999,84.462,0,0,0,256.325,70.516,11050.665,12.642,NaN,164.542,NaN,0.025,3233317.978,7993.609,0.002,1.24,0.003,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.712,103.407,900.26,1165.811,0.002,0.006
0.006,0.003,1.158,5.997,1.161,6.011,0,0,0,0,0.081,0.419,35.347,-117.809,0.999,83.691,0,0,0,256.298,70.489,11050.07,12.641,NaN,164.539,NaN,0.025,3230200.425,7989.348,0.003,1.241,0.004,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.644,103.407,900.26,1165.811,0.002,0.007
0.008,0.006,1.544,5.994,1.547,6.008,0,0,0,0,0.108,0.419,35.347,-117.809,0.999,82.919,0,0,0,256.271,70.462,11049.476,12.641,NaN,164.535,NaN,0.025,3227666.038,7985.088,0.004,1.241,0.005,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.576,103.407,900.26,1165.811,0.002,0.008
0.01,0.01,1.929,5.991,1.934,6.005,0.001,0,0.001,0,0.135,0.419,35.347,-117.809,0.999,82.147,0,0,0,256.244,70.435,11048.881,12.64,NaN,164.532,NaN,0.025,3225715.325,7980.827,0.005,1.241,0.007,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.509,103.407,900.259,1165.811,0.002,0.01
0.012,0.014,2.314,5.988,2.32,6.002,0.001,0,0.001,0,0.162,0.419,35.347,-117.809,0.999,81.374,0,0,0,256.217,70.408,11048.286,12.639,NaN,164.528,NaN,0.025,3224348.478,7976.567,0.007,1.241,0.01,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.441,103.407,900.259,1165.811,0.002,0.011
0.014,0.019,2.7,5.985,2.706,5.999,0.001,0,0.001,0,0.189,0.418,35.347,-117.809,0.999,80.601,0,0,0,256.19,70.381,11047.692,12.639,NaN,164.525,NaN,0.025,3223565.373,7972.306,0.009,1.241,0.012,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.373,103.407,900.259,1165.811,0.002,0.014
0.016,0.025,3.084,5.982,3.092,5.996,0.002,0,0.002,0,0.216,0.418,35.347,-117.809,0.999,79.828,0,0,0,256.163,70.354,11047.097,12.638,NaN,164.521,NaN,0.025,3223365.568,7968.045,0.012,1.241,0.016,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.306,103.407,900.259,1165.811,0.002,0.015
0.018,0.031,3.469,5.979,3.478,5.993,0.002,0,0.002,0,0.243,0.418,35.347,-117.809,0.999,79.055,0,0,0,256.136,70.327,11046.502,12.637,NaN,164.518,NaN,0.025,3223748.305,7963.785,0.014,1.241,0.019,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.238,103.407,900.259,1165.811,0.002,0.016
0.02,0.039,3.854,5.976,3.863,5.99,0.003,0,0.003,0,0.269,0.418,35.347,-117.809,0.999,78.283,0,0,0,256.109,70.3,11045.907,12.637,NaN,164.514,NaN,0.025,3224712.51,7959.524,0.017,1.241,0.023,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.17,103.407,900.259,1165.811,0.002,0.018
0.022,0.047,4.238,5.973,4.248,5.987,0.003,0,0.003,0,0.296,0.418,35.347,-117.809,0.999,77.512,0,0,0,256.082,70.273,11045.312,12.636,NaN,164.511,NaN,0.025,3226256.795,7955.264,0.021,1.241,0.028,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.103,103.407,900.259,1165.811,0.002,0.02
0.024,0.056,4.622,5.97,4.633,5.984,0.004,0,0.004,0,0.323,0.417,35.347,-117.809,0.999,76.743,0,0,0,256.056,70.246,11044.717,12.635,NaN,164.507,NaN,0.025,3228379.462,7951.003,0.025,1.241,0.033,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.035,103.407,900.258,1165.811,0.002,0.022
0.026,0.065,5.006,5.967,5.018,5.981,0.005,0,0.005,0,0.35,0.417,35.347,-117.809,0.999,75.975,0,0,0,256.029,70.219,11044.122,12.635,NaN,164.504,NaN,0.025,3231078.505,7946.742,0.029,1.241,0.039,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.967,103.407,900.258,1165.811,0.002,0.024
0.028,0.076,5.39,5.964,5.403,5.978,0.005,0,0.005,0,0.377,0.417,35.347,-117.809,0.999,75.208,0,0,0,256.002,70.192,11043.527,12.634,NaN,164.5,NaN,0.025,3234351.618,7942.482,0.034,1.24,0.046,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.899,103.407,900.258,1165.811,0.002,0.025
0.03,0.087,5.773,5.961,5.787,5.975,0.006,0,0.006,0,0.404,0.417,35.347,-117.809,0.999,74.444,0,0,0,255.975,70.165,11042.932,12.633,NaN,164.497,NaN,0.025,3238196.196,7938.221,0.039,1.24,0.052,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.832,103.407,900.258,1165.811,0.002,0.027
0.032,0.099,6.157,5.958,6.172,5.972,0.007,0,0.007,0,0.431,0.417,35.347,-117.809,0.999,73.682,0,0,0,255.948,70.138,11042.337,12.633,NaN,164.493,NaN,0.025,3242609.345,7933.961,0.045,1.24,0.06,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.764,103.407,900.257,1165.811,0.002,0.029
0.034,0.111,6.54,5.955,6.556,5.969,0.008,0,0.008,0,0.457,0.416,35.347,-117.809,0.999,72.923,0,0,0,255.921,70.111,11041.741,12.632,NaN,164.49,NaN,0.025,3247587.885,7929.7,0.051,1.24,0.068,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.696,103.407,900.257,1165.811,0.002,0.03
0.036,0.125,6.923,5.952,6.94,5.966,0.009,0,0.009,0,0.484,0.416,35.347,-117.809,0.999,72.166,0,0,0,255.894,70.084,11041.146,12.631,NaN,164.486,NaN,0.025,3253128.362,7925.439,0.058,1.239,0.077,0.829,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.629,103.407,900.257,1165.811,0.002,0.031
0.038,0.139,7.305,5.949,7.323,5.963,0.01,0,0.01,0,0.511,0.416,35.347,-117.809,0.999,71.413,0,0,0,255.867,70.057,11040.551,12.631,NaN,164.483,NaN,0.025,3259227.051,7921.179,0.065,1.239,0.086,0.829,0.37,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.561,103.407,900.257,1165.811,0.002,0.033
0.04,0.154,7.688,5.946,7.707,5.96,0.011,0,0.011,0,0.538,0.416,35.347,-117.809,0.999,70.663,0,0,0,255.84,70.03,11039.956,12.63,NaN,164.479,NaN,0.025,3265879.97,7916.918,0.073,1.238,0.096,0.829,0.37,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.493,103.407,900.256,1165.811,0.002,0.035
0.042,0.17,8.07,5.943,8.09,5.957,0.012,0,0.012,0,0.564,0.416,35.347,-117.809,0.999,69.916,0,0,0,255.813,70.003,11039.36,12.629,NaN,164.476,NaN,0.025,3273082.884,7912.657,0.081,1.238,0.106,0.829,0.37,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.426,103.407,900.256,1165.811,0.002,0.037
0.044,0.186,8.453,5.94,8.473,5.954,0.013,0,0.013,0,0.591,0.415,35.347,-117.809,0.999,69.173,0,0,0,255.786,69.976,11038.765,12.629,NaN,164.472,NaN,0.025,3280831.319,7908.397,0.09,1.238,0.117,0.828,0.37,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.358,103.406,900.256,1165.811,0.002,0.038
0.046,0.204,8.835,5.937,8.856,5.951,0.014,0,0.014,0,0.618,0.415,35.347,-117.809,0.999,68.434,0,0,0,255.759,69.949,11038.169,12.628,NaN,164.469,NaN,0.025,3289120.568,7904.136,0.099,1.237,0.129,0.828,0.37,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.29,103.406,900.255,1165.811,0.002,0.039
0.048,0.222,9.216,5.934,9.239,5.948,0.015,0,0.015,0,0.644,0.415,35.347,-117.809,0.999,67.7,0,0,0,255.732,69.922,11037.574,12.627,NaN,164.465,NaN,0.025,3297945.705,7899.876,0.109,1.237,0.141,0.827,0.37,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.222,103.406,900.255,1165.81,0.002,0.041
0.05,0.24,9.598,5.931,9.621,5.945,0.017,0,0.017,0,0.671,0.415,35.347,-117.809,0.999,66.969,0,0,0,255.705,69.895,11036.978,12.627,NaN,164.462,NaN,0.025,3307301.595,7895.615,0.12,1.236,0.154,0.827,0.37,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.155,103.406,900.254,1165.81,0.002,0.043
0.052,0.26,9.979,5.928,10.004,5.942,0.018,0,0.018,0,0.698,0.415,35.347,-117.809,0.999,66.294,0,0,0,255.678,69.868,11036.389,12.626,NaN,164.458,NaN,0.025,3325374.988,7891.444,0.131,1.235,0.166,0.826,0.369,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.164,103.406,900.254,1165.81,0.002,0.046
0.054,0.28,10.361,5.925,10.386,5.939,0.02,0,0.02,0,0.724,0.414,35.347,-117.809,0.999,65.627,0,0,0,255.651,69.842,11035.802,12.625,NaN,164.455,NaN,0.026,3343896.482,7887.417,0.142,1.234,0.179,0.825,0.369,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.174,103.406,900.253,1165.81,0.002,0.049
0.056,0.301,10.742,5.922,10.768,5.936,0.021,0,0.021,0,0.751,0.414,35.347,-117.809,0.999,64.967,0,0,0,255.625,69.815,11035.214,12.625,NaN,164.451,NaN,0.026,3362857.889,7883.391,0.154,1.233,0.192,0.825,0.369,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.184,103.406,900.253,1165.81,0.002,0.051
0.058,0.323,11.122,5.919,11.15,5.934,0.023,0,0.023,0,0.778,0.414,35.347,-117.809,0.999,64.316,0,0,0,255.598,69.789,11034.626,12.624,NaN,164.448,NaN,0.026,3382251.024,7879.365,0.167,1.232,0.205,0.824,0.369,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.194,103.406,900.253,1165.81,0.002,0.054
0.06,0.346,11.503,5.916,11.531,5.931,0.024,0,0.024,0,0.804,0.414,35.347,-117.809,0.999,63.672,0,0,0,255.571,69.762,11034.038,12.623,NaN,164.444,NaN,0.026,3402067.724,7875.34,0.18,1.23,0.219,0.823,0.368,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.204,103.406,900.252,1165.81,0.002,0.056
0.062,0.369,11.884,5.914,11.913,5.928,0.026,0,0.026,0,0.831,0.414,35.347,-117.809,0.999,63.035,0,0,0,255.545,69.735,11033.45,12.623,NaN,164.441,NaN,0.026,3422299.855,7871.314,0.194,1.229,0.233,0.822,0.368,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.213,103.406,900.251,1165.81,0.002,0.059
0.064,0.393,12.264,5.911,12.294,5.925,0.028,0,0.028,0,0.858,0.413,35.347,-117.809,0.999,62.407,0,0,0,255.518,69.709,11032.862,12.622,NaN,164.437,NaN,0.026,3442939.321,7867.288,0.208,1.228,0.247,0.821,0.368,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.223,103.406,900.251,1165.81,0.002,0.061
0.066,0.418,12.644,5.908,12.675,5.922,0.029,0,0.029,0,0.884,0.413,35.347,-117.809,0.999,61.787,0,0,0,255.491,69.682,11032.274,12.621,NaN,164.434,NaN,0.026,3463978.076,7863.262,0.223,1.227,0.262,0.82,0.367,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.233,103.406,900.25,1165.81,0.002,0.063
0.068,0.444,13.024,5.905,13.056,5.919,0.031,0,0.031,0,0.911,0.413,35.347,-117.809,0.999,61.174,0,0,0,255.465,69.655,11031.685,12.621,NaN,164.43,NaN,0.027,3485408.125,7859.237,0.239,1.226,0.276,0.819,0.367,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.243,103.405,900.25,1165.81,0.002,0.064
0.07,0.47,13.404,5.902,13.437,5.917,0.033,0,0.033,0,0.937,0.413,35.347,-117.809,0.999,60.569,0,0,0,255.438,69.629,11031.097,12.62,NaN,164.427,NaN,0.027,3507221.539,7855.211,0.255,1.224,0.291,0.819,0.367,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.252,103.405,900.249,1165.809,0.002,0.066
0.072,0.498,13.783,5.899,13.817,5.914,0.035,0,0.035,0,0.964,0.413,35.347,-117.809,0.999,59.973,0,0,0,255.412,69.602,11030.509,12.619,NaN,164.424,NaN,0.027,3529410.456,7851.185,0.271,1.223,0.306,0.818,0.366,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.262,103.405,900.249,1165.809,0.002,0.068
0.074,0.526,14.163,5.897,14.197,5.911,0.037,0,0.037,0,0.99,0.412,35.347,-117.809,0.999,59.384,0,0,0,255.385,69.575,11029.921,12.619,NaN,164.42,NaN,0.027,3551967.091,7847.16,0.288,1.222,0.321,0.817,0.366,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.272,103.405,900.248,1165.809,0.002,0.07
0.076,0.554,14.542,5.894,14.578,5.908,0.039,0,0.039,0,1.017,0.412,35.347,-117.809,0.999,58.802,0,0,0,255.358,69.549,11029.332,12.618,NaN,164.417,NaN,0.027,3574883.741,7843.134,0.306,1.221,0.337,0.816,0.366,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.282,103.405,900.247,1165.809,0.002,0.071
0.078,0.584,14.921,5.891,14.958,5.905,0.041,0,0.041,0,1.043,0.412,35.347,-117.809,0.999,58.229,0,0,0,255.332,69.522,11028.744,12.617,NaN,164.413,NaN,0.027,3598152.787,7839.108,0.324,1.219,0.352,0.815,0.365,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.291,103.405,900.247,1165.809,0.002,0.073
0.08,0.614,15.3,5.888,15.337,5.902,0.043,0,0.043,0,1.07,0.412,35.347,-117.809,0.999,57.663,0,0,0,255.305,69.495,11028.156,12.617,NaN,164.41,NaN,0.028,3621766.703,7835.082,0.343,1.218,0.368,0.814,0.365,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.301,103.405,900.246,1165.809,0.002,0.075
0.082,0.645,15.679,5.885,15.717,5.9,0.045,0,0.045,0,1.096,0.412,35.347,-117.809,0.999,57.105,0,0,0,255.278,69.469,11027.567,12.616,NaN,164.406,NaN,0.028,3645718.058,7831.057,0.363,1.217,0.383,0.813,0.365,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.311,103.405,900.245,1165.809,0.002,0.077
0.084,0.677,16.057,5.882,16.096,5.897,0.047,0,0.047,0,1.123,0.411,35.347,-117.809,0.999,56.554,0,0,0,255.252,69.442,11026.979,12.615,NaN,164.403,NaN,0.028,3669999.523,7827.031,0.382,1.216,0.399,0.812,0.364,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.321,103.405,900.245,1165.809,0.002,0.079
0.086,0.709,16.435,5.88,16.476,5.894,0.05,0,0.05,0,1.149,0.411,35.347,-117.809,0.999,56.011,0,0,0,255.225,69.416,11026.39,12.615,NaN,164.399,NaN,0.028,3694603.867,7823.005,0.403,1.214,0.415,0.811,0.364,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.33,103.404,900.244,1165.808,0.002,0.081
0.088,0.742,16.814,5.877,16.855,5.891,0.052,0,0.052,0,1.176,0.411,35.347,-117.809,0.999,55.475,0,0,0,255.198,69.389,11025.802,12.614,NaN,164.396,NaN,0.028,3719523.969,7818.98,0.424,1.213,0.431,0.81,0.364,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.34,103.404,900.243,1165.808,0.002,0.082
0.09,0.776,17.192,5.874,17.234,5.888,0.054,0,0.054,0,1.202,0.411,35.347,-117.809,0.999,54.947,0,0,0,255.172,69.362,11025.213,12.613,NaN,164.392,NaN,0.029,3744752.816,7814.954,0.445,1.212,0.446,0.809,0.363,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.35,103.404,900.242,1165.808,0.002,0.085
0.092,0.811,17.569,5.871,17.612,5.885,0.057,0,0.057,0,1.229,0.411,35.347,-117.809,0.999,54.427,0,0,0,255.145,69.336,11024.624,12.613,NaN,164.389,NaN,0.029,3770283.502,7810.928,0.467,1.211,0.462,0.808,0.363,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.36,103.404,900.242,1165.808,0.002,0.086
0.094,0.847,17.947,5.868,17.991,5.883,0.059,0,0.059,0,1.255,0.41,35.347,-117.809,0.999,53.913,0,0,0,255.118,69.309,11024.036,12.612,NaN,164.385,NaN,0.029,3796109.239,7806.902,0.49,1.209,0.478,0.807,0.363,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.369,103.404,900.241,1165.808,0.002,0.089
0.096,0.883,18.324,5.865,18.369,5.88,0.062,0,0.062,0,1.281,0.41,35.347,-117.809,0.999,53.407,0,0,0,255.092,69.282,11023.447,12.611,NaN,164.382,NaN,0.029,3822223.348,7802.877,0.513,1.208,0.494,0.806,0.362,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.379,103.404,900.24,1165.808,0.002,0.09
0.098,0.92,18.702,5.862,18.747,5.877,0.064,0,0.064,0,1.308,0.41,35.347,-117.809,0.999,52.908,0,0,0,255.065,69.256,11022.858,12.611,NaN,164.378,NaN,0.029,3848619.269,7798.851,0.537,1.207,0.509,0.805,0.362,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.389,103.404,900.239,1165.808,0.002,0.093
0.1,0.958,19.079,5.86,19.125,5.874,0.067,0,0.067,0,1.334,0.41,35.347,-117.809,0.999,52.416,0,0,0,255.039,69.229,11022.269,12.61,NaN,164.375,NaN,0.03,3875290.558,7794.825,0.561,1.205,0.525,0.804,0.362,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.399,103.404,900.238,1165.807,0.002,0.095
0.102,0.996,19.455,5.857,19.503,5.871,0.07,0,0.07,0,1.36,0.41,35.347,-117.809,0.999,52.087,0,0,0,255.012,69.203,11021.686,12.609,NaN,164.371,NaN,0.03,3918023.493,7790.822,0.584,1.203,0.535,0.803,0.361,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.578,103.403,900.238,1165.807,0.002,0.096
0.104,1.036,19.832,5.854,19.88,5.868,0.072,0,0.072,0,1.387,0.409,35.347,-117.809,0.999,51.765,0,0,0,254.986,69.176,11021.105,12.609,NaN,164.368,NaN,0.03,3960870.213,7786.876,0.608,1.201,0.545,0.801,0.361,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.757,103.403,900.237,1165.807,0.002,0.098
0.106,1.076,20.209,5.851,20.258,5.866,0.075,0,0.075,0,1.413,0.409,35.347,-117.809,0.999,51.451,0,0,0,254.96,69.15,11020.523,12.608,NaN,164.364,NaN,0.031,4003826.408,7782.931,0.633,1.199,0.555,0.8,0.36,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,27.936,103.403,900.236,1165.807,0.002,0.101
0.108,1.116,20.585,5.848,20.635,5.863,0.078,0,0.078,0,1.439,0.409,35.347,-117.809,0.999,51.143,0,0,0,254.933,69.124,11019.942,12.607,NaN,164.361,NaN,0.031,4046887.925,7778.987,0.657,1.197,0.564,0.798,0.36,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.116,103.403,900.235,1165.807,0.002,0.103
0.11,1.158,20.961,5.846,21.012,5.86,0.081,0,0.081,0,1.466,0.409,35.347,-117.809,0.999,50.842,0,0,0,254.907,69.098,11019.36,12.607,NaN,164.358,NaN,0.031,4090050.783,7775.043,0.682,1.195,0.573,0.797,0.359,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.295,103.403,900.234,1165.806,0.002,0.105
0.112,1.2,21.337,5.843,21.389,5.857,0.084,0,0.084,0,1.492,0.409,35.347,-117.809,0.999,50.548,0,0,0,254.881,69.071,11018.779,12.606,NaN,164.354,NaN,0.032,4133311.155,7771.099,0.708,1.193,0.582,0.795,0.359,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.474,103.403,900.233,1165.806,0.002,0.107
0.114,1.243,21.713,5.84,21.766,5.854,0.087,0,0.087,0,1.518,0.408,35.347,-117.809,0.999,50.26,0,0,0,254.854,69.045,11018.197,12.606,NaN,164.351,NaN,0.032,4176665.368,7767.155,0.734,1.191,0.591,0.794,0.358,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.654,103.402,900.232,1165.806,0.002,0.108
0.116,1.287,22.088,5.837,22.142,5.852,0.09,0,0.09,0,1.545,0.408,35.347,-117.809,0.999,49.978,0,0,0,254.828,69.019,11017.615,12.605,NaN,164.347,NaN,0.032,4220109.894,7763.21,0.761,1.19,0.6,0.792,0.358,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.833,103.402,900.231,1165.806,0.002,0.109
0.118,1.332,22.464,5.835,22.519,5.849,0.093,0,0.093,0,1.571,0.408,35.347,-117.809,0.999,49.702,0,0,0,254.802,68.992,11017.034,12.604,NaN,164.344,NaN,0.033,4263641.342,7759.266,0.787,1.188,0.609,0.791,0.357,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,29.012,103.402,900.23,1165.806,0.002,0.111
0.12,1.377,22.839,5.832,22.895,5.846,0.096,0,0.096,0,1.597,0.408,35.347,-117.809,0.999,49.432,0,0,0,254.775,68.966,11016.452,12.604,NaN,164.34,NaN,0.033,4307256.452,7755.322,0.815,1.186,0.617,0.79,0.357,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,29.191,103.402,900.229,1165.806,0.002,0.112
0.122,1.423,23.214,5.829,23.271,5.843,0.1,0,0.1,0,1.623,0.408,35.347,-117.809,0.999,49.167,0,0,0,254.749,68.94,11015.87,12.603,NaN,164.337,NaN,0.033,4350952.091,7751.378,0.843,1.184,0.625,0.788,0.357,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,29.371,103.402,900.228,1165.805,0.002,0.114
0.124,1.47,23.589,5.826,23.647,5.84,0.103,0,0.103,0,1.649,0.407,35.347,-117.809,0.999,48.908,0,0,0,254.723,68.913,11015.288,12.602,NaN,164.333,NaN,0.034,4394725.244,7747.434,0.871,1.182,0.634,0.787,0.356,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,29.55,103.402,900.227,1165.805,0.002,0.115
0.126,1.517,23.964,5.823,24.022,5.838,0.106,0,0.106,0,1.676,0.407,35.347,-117.809,0.999,48.654,0,0,0,254.697,68.887,11014.707,12.602,NaN,164.33,NaN,0.034,4438573.014,7743.489,0.899,1.18,0.641,0.786,0.356,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,29.729,103.401,900.226,1165.805,0.002,0.117
0.128,1.566,24.338,5.821,24.398,5.835,0.109,0,0.109,0,1.702,0.407,35.347,-117.809,0.999,48.406,0,0,0,254.67,68.861,11014.125,12.601,NaN,164.326,NaN,0.034,4482492.611,7739.545,0.928,1.179,0.649,0.784,0.355,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,29.909,103.401,900.225,1165.805,0.002,0.12
0.13,1.615,24.712,5.818,24.773,5.832,0.113,0,0.113,0,1.728,0.407,35.347,-117.809,0.999,48.162,0,0,0,254.644,68.835,11013.543,12.6,NaN,164.323,NaN,0.035,4526481.35,7735.601,0.958,1.177,0.657,0.783,0.355,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,30.088,103.401,900.224,1165.805,0.002,0.122
